evidence_set,work_key,title,recommended_membership,recommended_contribution,general_subtype,set3_role_if_moved,reason_code,confidence
set2_emerging,arxiv:2408.13406,Collaboration Dynamics and Reliability Challenges of Multi-Agent Systems in Finite Element Analysis,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set2_emerging,arxiv:2410.22932,Multi-Agent Large Language Models for Conversational Task-Solving,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set2_emerging,arxiv:2504.07461,The Achilles Heel of Distributed Multi-Agent Systems,keep_current,evaluation,,,reclassify_dominant_contribution,high
set2_emerging,arxiv:2511.08710,Convergence Dynamics of Agent-to-Agent Interactions with Misaligned Objectives,keep_current,general,formal_security_analysis,,true_general_system_level_security,high
set2_emerging,arxiv:2512.20973,DAO-Agent: Zero-Knowledge-Verified Incentives for Decentralized Multi-Agent Coordination,keep_current,defense,,,reclassify_dominant_contribution,high
set2_emerging,arxiv:2503.23138,EncGPT: A Multi-Agent Workflow for Dynamic Encryption Algorithms,keep_current,defense,,,reclassify_dominant_contribution,high
set2_emerging,arxiv:2512.16167,Ev-Trust: Evolutionarily Stable Trust Mechanism for LLM-Based Multi-Agent Systems,keep_current,defense,,,reclassify_dominant_contribution,high
set2_emerging,allegrini2025formalizing,"Formalizing the Safety, Security, and Functional Properties of Agentic AI Systems",keep_current,general,formal_security_analysis,,true_general_system_level_security,high
set2_emerging,arxiv:2511.17621,From Competition to Coordination: Market Making as a Safe and Aligned Multi-Agent System,move_set3,context,,agentic_security_context,adjacent_safety_governance_not_concrete_security,high
set2_emerging,arxiv:2507.21159,MAC: Masked Agent Collaboration for Medical Decision Making,move_set3,context,,deployment_evidence,external_application_or_deployment_context,high
set2_emerging,arxiv:2510.04488,Multi-Agent Collaborative Intelligence: Dual-Dial Control for Reliable Reasoning,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set2_emerging,arxiv:2512.21352,Multi-Agent LLM Committees for Autonomous Software Beta Testing,move_set3,context,,deployment_evidence,external_application_or_deployment_context,high
set2_emerging,arxiv:2512.16279,QuadSentinel: Sequent Safety for Machine-Checkable Control of Multi-Agent Systems,keep_current,defense,,,reclassify_dominant_contribution,high
set2_emerging,arxiv:2506.11083,RedDebate: Safer Responses through Multi-Agent Red Teaming Debates,keep_current,defense,,,reclassify_dominant_contribution,high
set2_emerging,doi:10.32388/ubj6kd,A Review of AgentNet: Decentralized Evolutionary Coordination in LLM-Based Multi-Agent Systems,move_set3,context,,related_work,generic_mas_method_not_security_central,high
set2_emerging,arxiv:2510.19420,Securing Multi-Agent Systems Against Corruptions via Node Contribution Backpropagation,keep_current,defense,,,reclassify_dominant_contribution,high
set2_emerging,arxiv:2510.14312,"Terrarium: A Blackboard for Multi-Agent Safety, Privacy, and Security Studies",keep_current,evaluation,,,reclassify_dominant_contribution,high
set2_emerging,arxiv:2510.10943,The Social Cost of Intelligence: Bias Propagation in LLM Multi-Agent Systems,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set2_emerging,arxiv:2510.27617,VeriMoA: A Mixture-of-Agents Framework for Verified Spec-to-HDL Generation,move_set3,context,,related_work,generic_mas_method_not_security_central,high
set2_emerging,doi:10.5281/zenodo.19844471,Accountable Multi-Agent AI Systems: Orchestration with Human-in-the-Loop Verification,keep_current,defense,,,reclassify_dominant_contribution,high
set2_emerging,arxiv:2605.05703,Active Learning for Communication Structure Optimization in Multi-Agent LLM Systems,move_set3,context,,related_work,generic_mas_method_not_security_central,high
set2_emerging,doi:10.5281/zenodo.18902320,Algorithmic Cowardice: Cognitive Dissonance and Moral Conformity in Multi-Agent LLM Systems,keep_current,evaluation,,,reclassify_dominant_contribution,high
set2_emerging,doi:10.5281/zenodo.19103615,Behavioral Drift in Multi-Agent LLM Systems,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set2_emerging,arxiv:2604.13705,Beyond Arrow's Impossibility: Fairness as an Emergent Property of Multi-Agent LLM Deliberation,move_set3,context,,measurement_context,reliability_alignment_or_behavior_not_security,high
set2_emerging,arxiv:2604.22879,Beyond Single-Agent Alignment: Preventing Context-Fragmented Policy Violations in Multi-Agent Systems,keep_current,defense,,,reclassify_dominant_contribution,high
