work_key	title	category	set	doi	arxiv_id	primary_url
arxiv:2512.17913	Byzantine Fault-Tolerant Multi-Agent System for Healthcare: A Gossip Protocol Approach to Secure Medical Message Propagation	defense	set2_emerging		2512.17913	https://www.semanticscholar.org/paper/2b5da79e48605a84031c6ec1c1e741bfc62d264d
arxiv:2605.19240	CASPIAN: Online Detection and Attribution of Cascade Attacks in LLM Multi-Agent Systems via Cross-Channel Causal Monitoring	defense	set2_emerging		2605.19240	https://www.semanticscholar.org/paper/dd7c0938f68765869f0e61ee363e7ed36a873eba
arxiv:2606.07941	Collective Hallucination in Multi-Agent LLMs:Modeling and Defense	defense	set2_emerging		2606.07941	https://www.semanticscholar.org/paper/fbbcdb26636386d148008ceaedb2ec224ca476f8
arxiv:2512.20973	DAO-Agent: Zero Knowledge-Verified Incentives for Decentralized Multi-Agent Coordination	defense	set2_emerging		2512.20973	https://www.semanticscholar.org/paper/0b4fe767a365cc38015ecd935b3009b76af098dc
arxiv:2603.15809	Don't Trust Stubborn Neighbors: A Security Framework for Agentic Networks	defense	set2_emerging		2603.15809	https://www.semanticscholar.org/paper/ad1aa41fe8a8a23fc016cfbe6d3b6004d14fffec
arxiv:2604.07911	Dynamic Attentional Context Scoping: Agent-Triggered Focus Sessions for Isolated Per-Agent Steering in Multi-Agent LLM Orchestration	general	set2_emerging		2604.07911	https://www.semanticscholar.org/paper/edb684a9d47a023d2343c96c7278aaad3cc25c4a
arxiv:2605.09278	EquiMem: Calibrating Shared Memory in Multi-Agent Debate via Game-Theoretic Equilibrium	defense	set2_emerging		2605.09278	https://www.semanticscholar.org/paper/1ad06ca131f6e83a0dc16cb42495dd29a98522ad
arxiv:2512.16167	Ev-Trust: An Evolutionarily Stable Trust Mechanism for Decentralized LLM-Based Multi-Agent Service Economies	defense	set2_emerging		2512.16167	https://www.semanticscholar.org/paper/2fc472d64713f1453c905d90788d86998d766f5b
arxiv:2604.07667	From Debate to Decision: Conformal Social Choice for Safe Multi-Agent Deliberation	defense	set2_emerging		2604.07667	https://www.semanticscholar.org/paper/26972d52713dd2bd50f7d74905c4341495af988f
arxiv:2603.04474	From Spark to Fire: Modeling and Mitigating Error Cascades in LLM-Based Multi-Agent Collaboration	defense	set2_emerging		2603.04474	https://www.semanticscholar.org/paper/a293983bd48babd0f8fcd908e9f0e98932074ad8
arxiv:2606.10322	Game-Theoretic Multi-Agent Control for Robust Contextual Reasoning in LLMs	defense	set2_emerging		2606.10322	https://www.semanticscholar.org/paper/03ebfea35124ed27f7f954332794209a96fff7c5
arxiv:2606.24535	Governed Shared Memory for Multi-Agent LLM Systems	defense	set2_emerging		2606.24535	
