review_track,track_priority,paper_id,title,year,venue,primary_category,paper_type,scope_relation,primary_url,note_path,minimum_review_status,attack_evidence_status,attack_role,attack_instance_coding_required,reviewer,review_date,adjudication_note
load_bearing,1,gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,2024,ICML,attack,attack; empirical study; theoretical analysis,core_security,https://proceedings.mlr.press/v235/gu24e.html,papers/attacks/icml/2024_gu_agent_smith.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack,yes,,,Source review recorded 2 corrections; ready after minor patch; author signoff required.
load_bearing,2,motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,2024,NeurIPS,attack,attack; defense evaluation; empirical study; theoretical analysis,core_security,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,papers/attacks/neurips/2024_motwani_secret_collusion.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,,,Source review recorded 2 corrections; ready after minor patch; author signoff required.
load_bearing,3,men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,2025,ACL,attack,attack; benchmark; evaluation,core_security,https://aclanthology.org/2025.acl-long.859/,papers/attacks/acl/2025_men_troublemaker.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack,yes,,,Source review recorded 2 corrections; ready after minor patch; author signoff required.
load_bearing,4,cohen2025ai_worm,Here Comes the AI Worm: Preventing the Propagation of Adversarial Self-Replicating Prompts Within GenAI Ecosystems,2025,ACM CCS,attack,attack; defense; ecosystem evaluation,security_relevant,https://doi.org/10.1145/3719027.3765196,papers/attacks/ccs/2025_cohen_ai_worm.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack; evaluates_defense,yes,,,Source review recorded 3 corrections; ready after major patch; author signoff required.
load_bearing,5,ju2026flooding,Flooding Spread of Manipulated Knowledge in LLM-Based Multi-Agent Communities,2026,Science China Information Sciences,attack,attack; evaluation,core_security,https://doi.org/10.1007/s11432-024-4663-2,papers/attacks/journals_science_china_information_sciences/2026_ju_flooding.md,blocked_pending_final_source,confirmed_attack_bearing,introduces_attack,yes,,,Source review recorded 3 corrections; pending final source verification; author signoff required.
load_bearing,6,wang2025gsafeguard,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,2025,ACL,defense,defense; evaluation; attack analysis,core_security,https://aclanthology.org/2025.acl-long.359/,papers/defenses/acl/2025_wang_g_safeguard.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,evaluates_attack; attack_analysis_only,yes,,,Source review recorded 3 corrections; ready after major patch; author signoff required.
load_bearing,7,yu2025netsafe,NetSafe: Exploring the Topological Safety of Multi-agent System,2025,Findings of ACL,evaluation,benchmark; evaluation; topology analysis,security_relevant,https://aclanthology.org/2025.findings-acl.150/,papers/evaluations/findings_acl/2025_yu_netsafe.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,evaluates_attack; attack_analysis_only,yes,,,Source review recorded 3 corrections; ready after major patch; author signoff required.
load_bearing,8,zhou2026corba,CORBA: Contagious Recursive Blocking Attacks on Multi-Agent Systems Based on Large Language Models,2026,Findings of ACL,attack,attack; evaluation,core_security,https://aclanthology.org/2026.findings-acl.342/,papers/attacks/findings_acl/2026_zhou_corba.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack,yes,,,Source review recorded 3 corrections; ready after minor patch; author signoff required.
load_bearing,9,mathew2025hidden,Hidden in Plain Text: Emergence and Mitigation of Steganographic Collusion in LLMs,2025,IJCNLP-AACL,evaluation,security evaluation; attack elicitation; defense evaluation,core_security,https://aclanthology.org/2025.ijcnlp-long.34/,papers/evaluations/ijcnlp_aacl/2025_mathew_hidden_plain_text.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,attack_elicitation; evaluates_defense,yes,,,Source review recorded 3 corrections; ready after major patch; author signoff required.
load_bearing,10,hu2026lying_truths,Lying with Truths: Open-Channel Multi-Agent Collusion for Belief Manipulation via Generative Montage,2026,ACL,attack,attack; benchmark; evaluation,core_security,https://aclanthology.org/2026.acl-long.270/,papers/attacks/acl/2026_hu_lying_truths.md,source_reviewed_pending_author_signoff,confirmed_attack_bearing,introduces_attack,yes,,,Source review recorded 2 corrections; ready after minor patch; author signoff required.
