record_id,title,publication_date,venue,arxiv_id,doi,primary_url,citations,citation_source,citation_snapshot_date,recommended_scope,gate_decision,source_review_status,threshold_rule,cutoff,semantic_scholar_id
arxiv:2503.04392,AgentSafe: Safeguarding Large Language Model-based Multi-agent Systems via Hierarchical Data Management,2025-03-06,arXiv.org,2503.04392,10.48550/arXiv.2503.04392,https://arxiv.org/abs/2503.04392,42,Semantic Scholar Graph API,2026-08-06,core_security,provisional_pass_author_signoff_required,assistant_source_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,a5e0b705c5346e6b3018050c7a3b851b5efc5258
arxiv:2501.07811,CodeCoR: An LLM-Based Self-Reflective Multi-Agent Framework for Code Generation,2025-01-14,arXiv.org,2501.07811,arxiv:2501.07811,https://arxiv.org/abs/2501.07811,37,Semantic Scholar Graph API,2026-08-06,adjacent,adjacent_not_core,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,59efb90a519cf5df0aaadb3778d2d1028d2d666e
arxiv:2601.11893,Taming Various Privilege Escalation in LLM-Based Agent Systems: A Mandatory Access Control Framework,2026-01-17,arXiv.org,2601.11893,arxiv:2601.11893,https://arxiv.org/abs/2601.11893,37,Semantic Scholar Graph API,2026-08-06,core_security,provisional_pass_author_signoff_required,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,f6a22a7b6c63c8002411e29ba9079f0a0bc5931a
arxiv:2506.07468,Chasing Moving Targets with Online Self-Play Reinforcement Learning for Safer Language Models,2025-06-09,arXiv.org,2506.07468,arxiv:2506.07468,https://arxiv.org/abs/2506.07468,31,Semantic Scholar Graph API,2026-08-06,adjacent,adjacent_not_core,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,21251d14f97926bf4c19b8cfaab8a3d101f7fa71
arxiv:2410.22932,Multi-Agent Large Language Models for Conversational Task-Solving,2024-10-30,arXiv.org,2410.22932,arxiv:2410.22932,https://arxiv.org/abs/2410.22932,31,Semantic Scholar Graph API,2026-08-06,security_relevant,contextual_not_strict_core,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,2f6ef455c7272b726712fdfd64f1ca9166ca0478
arxiv:2506.07564,SAFEFLOW: A Principled Protocol for Trustworthy and Transactional Autonomous Agent Systems,2025-06-09,arXiv.org,2506.07564,arxiv:2506.07564,https://arxiv.org/abs/2506.07564,25,Semantic Scholar Graph API,2026-08-06,core_security,provisional_pass_author_signoff_required,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,a0678c81b0601eddb4a79fb7534a713726ea9416
arxiv:2504.05047,Debate Only When Necessary: Adaptive Multiagent Collaboration for Efficient LLM Reasoning,2025-04-07,arXiv.org,2504.05047,arxiv:2504.05047,https://arxiv.org/abs/2504.05047,24,Semantic Scholar Graph API,2026-08-06,adjacent,adjacent_not_core,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,3d3628e20a7499664345efcc95c231e5129ea6f9
arxiv:2510.15186,MAGPIE: A benchmark for Multi-AGent contextual PrIvacy Evaluation,2025-10-16,NeurIPS Responsible Foundation Models Workshop,2510.15186,arxiv:2510.15186,https://arxiv.org/abs/2510.15186,21,Semantic Scholar Graph API,2026-08-06,core_security,provisional_pass_author_signoff_required,assistant_source_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,c1d91bbc06d958cb321600b04d4b29ada75ffbc3
arxiv:2505.22960,Revisiting Multi-Agent Debate as Test-Time Scaling: A Systematic Study of Conditional Effectiveness,2025-05-29,arXiv.org,2505.22960,arxiv:2505.22960,https://arxiv.org/abs/2505.22960,19,Semantic Scholar Graph API,2026-08-06,security_relevant,contextual_not_strict_core,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,22bd199f21a0ca973c5604adec328a484ebddcee
arxiv:2505.24201,SentinelAgent: Graph-based Anomaly Detection in Multi-Agent Systems,2025-05-30,arXiv.org,2505.24201,arxiv:2505.24201,https://arxiv.org/abs/2505.24201,19,Semantic Scholar Graph API,2026-08-06,core_security,provisional_pass_author_signoff_required,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,99296c88c1470c2f20cf34f2e9708eab4f34fa2c
arxiv:2601.04170,Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions,2026-01-07,arXiv.org,2601.04170,arxiv:2601.04170,https://arxiv.org/abs/2601.04170,18,Semantic Scholar Graph API,2026-08-06,adjacent,adjacent_not_core,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,c102b44673da43a07443e3fc7ba2ac27f96800e4
arxiv:2508.07667,1-2-3 Check: Enhancing Contextual Privacy in LLM via Multi-Agent Reasoning,2025-08-11,arXiv.org,2508.07667,arxiv:2508.07667,https://arxiv.org/abs/2508.07667,16,Semantic Scholar Graph API,2026-08-06,core_security,provisional_pass_author_signoff_required,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,e62edf39a3c2a7ebaaa797f73934d39133940d2c
arxiv:2511.06134,Maestro: Learning to Collaborate via Conditional Listwise Policy Optimization for Multi-Agent LLMs,2025-11-08,arXiv.org,2511.06134,arxiv:2511.06134,https://arxiv.org/abs/2511.06134,15,Semantic Scholar Graph API,2026-08-06,adjacent,adjacent_not_core,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,9786848f1dd93fde19d887a813b24ab1e12ef7ce
arxiv:2509.14284,The Sum Leaks More Than Its Parts: Compositional Privacy Risks and Mitigations in Multi-Agent Collaboration,2025-09-16,arXiv.org,2509.14284,arxiv:2509.14284,https://arxiv.org/abs/2509.14284,15,Semantic Scholar Graph API,2026-08-06,core_security,provisional_pass_author_signoff_required,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,de3e47373ae1acf84091398ff6a4eafb5b95d757
arxiv:2510.27617,VeriMoA: A Mixture-of-Agents Framework for Spec-to-HDL Generation,2025-10-31,arXiv.org,2510.27617,arxiv:2510.27617,https://arxiv.org/abs/2510.27617,14,Semantic Scholar Graph API,2026-08-06,adjacent,adjacent_not_core,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,69903d20c7eb8df2a4f46ee22b2137e520f53fd8
arxiv:2407.12532,Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models,2024-07-17,arXiv.org,2407.12532,arxiv:2407.12532,https://arxiv.org/abs/2407.12532,13,Semantic Scholar Graph API,2026-08-06,adjacent,adjacent_not_core,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,e3dc5680f7de9db8a1aff9b9c936563e9f8aba45
arxiv:2601.11369,Institutional AI: Governing LLM Collusion in Multi-Agent Cournot Markets via Public Governance Graphs,2026-01-16,arXiv.org,2601.11369,arxiv:2601.11369,https://arxiv.org/abs/2601.11369,12,Semantic Scholar Graph API,2026-08-06,core_security,provisional_pass_author_signoff_required,full_text_reviewed_pending_author_signoff,citationCount >= 10,2026-07-01,9438fe46f3f7513c9a7f0884dffda6b7ed7d670d
